Unnamed: 0,link,usr_name,tournaments,profit,totBI,totCashes,roi,roiBI,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
0,https://mttmarket.com/users/55673e9d0cf25c1c3c03cee9,multison375,1564.0,-949.05,11058.9,10109.85,-8.58,-14.19,7.07,22.83,18714.0,2772.82,4.35,25654.92,50.68,31.51,571.0,577.92,6.2,511.78,24.97,14.45
1,https://mttmarket.com/users/5535460f0cf26d1eaea4774e,SkyWorker,803.0,-1705.98,18885.98,17180.0,-9.03,-4.36,23.52,22.04,9766.0,1128.08,16.67,16748.79,28.98,10.29,1312.0,327.73,15.18,3915.8,29.21,19.67
2,https://mttmarket.com/users/55bcb12261ccb6022d3d2f10,serjvikt,764.0,3831.25,8966.2,12797.45,42.73,37.88,11.74,21.86,5293.0,3645.87,6.64,4421.14,18.81,12.59,559.0,480.64,12.58,1487.65,24.16,21.16
3,https://mttmarket.com/users/548484760cf24a5c0d9147ac,Bikk87,1474.0,3180.76,13119.75,16300.51,24.24,21.96,8.9,19.74,11012.0,1164.38,5.37,22271.53,55.93,37.64,2289.0,215.86,7.27,7551.41,61.55,45.35
4,https://mttmarket.com/users/5571b9ee0cf25acfc5bf69dc,bozhurin,342.0,4198.73,2923.18,7121.91,143.64,152.37,8.55,19.01,7066.0,910.09,3.42,7044.63,38.18,29.13,296.0,274.85,7.57,-512.56,6.14,-22.88
5,https://mttmarket.com/users/55645da20cf25c1c3c0328bd,helios,937.0,512.63,8498.29,9010.92,6.03,22.84,9.07,26.36,1361.0,2520.05,4.39,2666.39,19.03,44.58,475.0,204.28,7.85,1026.48,38.0,27.51
6,https://mttmarket.com/users/5587073c0cf2888715a24de1,ATATA_R0MK0,1024.0,979.46,4682.45,5661.91,20.92,28.49,4.57,18.36,1677.0,1243.03,4.54,1907.2,37.4,25.03,1269.0,303.79,4.51,937.46,28.55,16.4
7,https://mttmarket.com/users/55ae277361ccb6000f1fa24f,tuuuhuurbboooo,286.0,391.81,2522.43,2914.24,15.53,48.15,8.82,23.08,7023.0,1140.2,4.67,2524.89,28.26,7.7,2120.0,327.27,4.92,1580.18,28.92,15.15
8,https://mttmarket.com/users/558597c50cf2888715a16f85,SlavaSnigirev,620.0,1108.52,2551.3,3659.82,43.45,40.77,4.12,18.55,3093.0,4364.91,1.25,1551.27,40.66,40.26,1046.0,247.33,2.32,986.27,63.37,40.64
9,https://mttmarket.com/users/536e2e620cf2586a08501922,FILTH,1543.0,1339.72,15199.81,16539.53,8.81,22.57,9.85,22.03,22373.0,3202.8,7.6,34919.19,52.67,20.54,1112.0,441.47,8.17,154.2,9.88,1.7
10,https://mttmarket.com/users/54a2b47a0cf23c2fa9bd696d,kyzyldurrr,449.0,-1702.76,7219.7,5516.94,-23.58,-29.83,16.08,21.38,15808.0,1582.25,5.95,16771.64,20.06,17.82,2654.0,429.01,12.79,14875.6,27.26,43.81
11,https://mttmarket.com/users/56024d5461ccb62671b9b284,k king,179.0,886.73,1215.8,2102.53,72.93,61.03,6.79,24.02,12665.0,1558.62,4.7,9069.48,46.84,15.22,1944.0,254.53,4.58,3029.02,71.77,34.04
12,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,Shpocker,868.0,681.83,4952.12,5633.95,13.77,26.33,5.71,23.62,6785.0,3194.71,1.4,3067.93,30.39,32.26,1964.0,178.29,2.01,1115.77,49.93,28.2
13,https://mttmarket.com/users/55de63d761ccb615db2fdcae,chur,555.0,1571.48,10022.71,11594.19,15.68,13.94,18.06,25.41,3321.0,1229.58,12.13,9517.0,75.88,23.63,673.0,312.98,9.58,1008.82,34.41,15.64
14,https://mttmarket.com/users/55aff4fa61ccb60011d702f8,dmitry83,1119.0,8157.02,9672.31,17829.33,84.33,81.79,8.64,16.71,9218.0,1188.43,2.67,11687.18,30.35,47.42,2071.0,381.51,7.07,1136.92,8.33,7.76
16,https://mttmarket.com/users/53b101050cf2c8120d45c58c,rusxxxx,3115.0,5993.04,42051.06,48044.1,14.25,16.15,13.5,25.94,52907.0,2225.58,10.17,115144.32,27.12,21.41,3516.0,384.54,13.88,18294.39,58.32,37.5
17,https://mttmarket.com/users/531082eb4700008946dc9eed,Ugin,3900.0,11978.35,133769.37,145747.72,8.95,17.5,34.3,17.79,22969.0,562.93,8.13,33703.16,30.16,18.04,1590.0,253.74,39.34,3368.48,28.09,5.39
18,https://mttmarket.com/users/52b32f4b5a00006002eb24df,NikAs,7135.0,46056.66,375942.59,421999.25,12.25,23.48,52.69,19.76,21755.0,1980.02,26.95,105793.66,50.94,18.04,2752.0,361.08,47.93,39333.76,45.45,29.82
20,https://mttmarket.com/users/55dc7e4f61ccb6107dc36ba1,shonix,155.0,87.61,741.35,828.96,11.82,33.14,4.78,25.16,2878.0,1925.78,2.29,3703.07,59.76,56.19,933.0,141.43,1.87,293.04,26.11,16.79
21,https://mttmarket.com/users/55e3197c61ccb625c0411cef,matejvslo,54.0,-15.82,88.92,73.1,-17.79,11.33,1.65,25.93,3199.0,3583.34,0.58,692.59,67.64,37.32,245.0,180.89,0.57,198.23,98.65,141.03
22,https://mttmarket.com/users/5411d2b60cf22953036831e9,silverbuttonlad,2050.0,6972.56,13973.68,20946.24,49.9,65.94,6.82,23.32,20509.0,1012.25,5.73,24301.55,38.29,20.69,3213.0,293.77,4.4,4610.44,46.18,32.61
23,https://mttmarket.com/users/557ec3370cf28887159e8407,petoose,871.0,-1186.81,4826.63,3639.82,-24.59,-12.32,5.54,18.03,6375.0,4225.48,3.22,2675.57,19.05,13.02,603.0,422.93,7.88,-390.26,28.02,-8.22
24,https://mttmarket.com/users/55a78be60cf2c4481c7cae76,rodevisto,1013.0,-1093.09,13480.16,12387.07,-8.11,-7.93,13.31,25.07,1784.0,388.18,8.91,10103.36,64.07,63.56,1349.0,243.71,9.27,7449.11,74.66,59.59
25,https://mttmarket.com/users/54eb6a500cf22b7780462624,managa,1131.0,2112.04,23835.2,25947.24,8.86,7.22,21.07,17.24,3424.0,1125.21,8.59,6308.87,39.15,21.44,1714.0,309.0,10.09,4182.54,52.89,24.18
26,https://mttmarket.com/users/55965ea00cf2d95aabafda28,ignatik,967.0,-517.41,4764.27,4246.86,-10.86,-5.93,4.93,18.41,3997.0,3960.02,1.55,319.06,10.46,5.15,634.0,372.99,3.24,730.78,47.08,35.6
27,https://mttmarket.com/users/559d77630cf2d95aabb270cd,Bioinformix,1026.0,-4199.14,19970.5,15771.36,-21.03,-4.95,19.46,22.03,11412.0,1898.83,10.72,9392.85,42.5,7.67,1727.0,427.71,20.56,741.81,21.25,2.09
28,https://mttmarket.com/users/5538b38a0cf26d1eaea58b80,danissimovip,1728.0,39345.85,40893.92,80239.77,96.21,35.99,23.67,20.02,14563.0,2686.2,15.74,103837.58,60.58,45.31,1528.0,474.81,23.97,15909.12,48.47,43.43
29,https://mttmarket.com/users/55c8cabb61ccb60c8eaf4748,douglas,750.0,1048.28,4952.0,6000.28,21.17,24.41,6.6,18.53,1795.0,2024.38,5.53,2084.01,22.41,21.0,1142.0,375.74,5.69,2541.34,47.42,39.13
30,https://mttmarket.com/users/54ebbf270cf22b7780463868,TuzMan23,976.0,2367.56,22565.48,24933.04,10.49,10.24,23.12,21.41,10294.0,2264.34,24.62,72408.37,51.82,28.57,1546.0,347.71,25.06,3592.35,35.86,9.27
31,https://mttmarket.com/users/555b4bfa0cf2820a8e3c9792,KeryaSvyatoi,590.0,654.96,2960.99,3615.95,22.12,29.44,5.02,23.73,15154.0,1289.82,1.76,8531.3,35.51,31.97,3068.0,178.48,1.99,2670.03,53.11,43.62
32,https://mttmarket.com/users/55ffd0e261ccb61ce92dd9fb,laybacklol,115.0,615.05,570.5,1185.55,107.81,168.09,4.96,20.0,7023.0,3069.82,1.79,2823.25,47.39,22.5,623.0,542.48,3.38,1855.87,116.04,88.05
33,https://mttmarket.com/users/53764f6b0cf2c8120d3d4e7f,amanskiy,662.0,2962.12,7905.45,10867.57,37.47,35.46,11.94,21.0,4985.0,2106.36,13.44,2185.55,35.65,3.26,1351.0,500.16,14.81,2938.3,34.21,14.68
34,https://mttmarket.com/users/55bbf12e61ccb60059523268,master.zuev,633.0,2189.34,6015.5,8204.84,36.39,43.81,9.5,24.17,7770.0,1854.3,5.76,11122.09,46.33,24.84,1762.0,371.77,12.66,2541.6,34.84,11.4
35,https://mttmarket.com/users/54e4935f0cf2aad4ad50dc80,drawzee,219.0,-748.62,1338.2,589.58,-55.94,-52.9,6.11,17.81,25605.0,677.44,3.28,2145.08,6.63,2.56,6037.0,144.24,2.59,41.36,7.95,0.26
36,https://mttmarket.com/users/5411600c0cf2295303680d0f,F14,2179.0,14569.42,52757.64,67327.06,27.62,27.58,24.21,19.18,8961.0,2077.87,14.88,24084.61,20.37,18.06,2401.0,382.86,17.75,7467.79,22.26,17.53
37,https://mttmarket.com/users/549bdc8e0cf23c3abe0c1f03,bblk,4340.0,7388.17,42247.64,49635.81,17.49,38.19,9.73,18.57,27512.0,1342.99,21.07,218293.26,62.07,37.66,2837.0,421.17,8.81,6798.59,39.25,27.19
38,https://mttmarket.com/users/555ef8880cf2820a8e3d8b32,Luckybet101,1423.0,3595.44,8535.13,12130.57,42.13,46.27,6.0,19.11,4888.0,942.65,3.21,2877.0,22.08,18.35,1716.0,229.09,3.5,2370.35,43.67,39.48
40,https://mttmarket.com/users/55a66e790cf2c4481c7c5cc1,zum-zum077,763.0,-1531.95,7625.46,6093.51,-20.09,-16.1,9.99,20.45,5418.0,3887.81,5.34,5856.47,27.81,20.25,476.0,556.67,8.56,-1037.01,0.18,-25.45
