Unnamed: 0,Unnamed: 0.1,link,usr_name,start_date,BI,tournaments,coef,stakeback,player_part,sell_left,status,item_info,shit,BI_actual,Cashes
0,220,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,Shpocker,20.09.2015,106.8,15,1.15,,25.0,0.0,-59.77,https://mttmarket.com/packets/item/55fea1b261ccb6190e358273,,100.8,41.03
1,221,https://mttmarket.com/users/559d77630cf2d95aabb270cd,Bioinformix,20.09.2015,681.9,31,1.16,,50.0,0.0,-116.64,https://mttmarket.com/packets/item/55f92f2a61ccb604cc1517cd,,645.9,529.26
2,222,https://mttmarket.com/users/55ae596c61ccb6000e13603e,maximusaces2,20.09.2015,397.4,57,1.16,,50.0,0.0,-339.56,https://mttmarket.com/packets/item/55fa184661ccb609131b4d53,,397.4,57.84
3,223,https://mttmarket.com/users/55a66e790cf2c4481c7c5cc1,zum-zum077,20.09.2015,204.3,18,1.15,,25.0,0.0,-141.57,https://mttmarket.com/packets/item/55fa9e0661ccb60a6fbc30dd,,198.1,56.53
4,225,https://mttmarket.com/users/55b774d761ccb60012f31507,angerr,20.09.2015,515.3,41,1.15,,50.0,0.0,-197.15,https://mttmarket.com/packets/item/55fc840361ccb612288caa7d,,320.0,122.85
5,226,https://mttmarket.com/users/55aff4fa61ccb60011d702f8,dmitry83,20.09.2015,355.1,36,1.15,,50.0,0.0,-58.71,https://mttmarket.com/packets/item/55fd308e61ccb613c23166a4,,334.1,275.39
6,228,https://mttmarket.com/users/53a040220cf2c8120d43379c,xquizzza,20.09.2015,500.1,35,1.15,,40.0,0.0,-160.67,https://mttmarket.com/packets/item/55fdcadd61ccb616265b1b16,,468.1,307.43
7,229,https://mttmarket.com/users/55eebec761ccb65540d2383a,nur1ck,20.09.2015,215.0,1,1.15,,80.0,0.0,-215.0,https://mttmarket.com/packets/item/55fe4fae61ccb6176770dcf1,,215.0,0.0
8,230,https://mttmarket.com/users/5457ce390cf24a5c0d8533a3,matters71,20.09.2015,474.9,18,1.18,,34.0,0.0,-308.44,https://mttmarket.com/packets/item/55fea83f61ccb61923e0088c,,366.0,57.56
9,231,https://mttmarket.com/users/542d594c0cf2c31f2c266ac9,papa_af_true,20.09.2015,74.35,9,1.17,,50.0,0.0,-43.42,https://mttmarket.com/packets/item/55febc3661ccb6197b580714,,74.35,30.93
10,232,https://mttmarket.com/users/555ef8880cf2820a8e3d8b32,Luckybet101,20.09.2015,205.56,14,1.15,,50.0,0.0,-148.66,https://mttmarket.com/packets/item/55febd2461ccb619a1c63934,,192.22,43.56
11,233,https://mttmarket.com/users/542d594c0cf2c31f2c266ac9,papa_af_true,20.09.2015,351.77,40,1.17,,50.0,0.0,-31.83,https://mttmarket.com/packets/item/55febd3961ccb6198d33420e,,221.87,190.04
12,235,https://mttmarket.com/users/55cfcc9061ccb6133155fcad,mnevezet2015,20.09.2015,193.2,15,1.18,,25.0,0.0,-115.04,https://mttmarket.com/packets/item/55f5341461ccb6756b7f18c7,,145.2,30.16
13,236,https://mttmarket.com/users/54a29d6b0cf23c2fa9bd5ce6,regisser,20.09.2015,265.14,25,1.16,,50.0,0.0,30.29,https://mttmarket.com/packets/item/55f66bdc61ccb679672de08b,,265.14,295.43
14,237,https://mttmarket.com/users/537d2c0b0cf2c8120d3e6047,AwadeuS,20.09.2015,577.0,37,1.16,,20.0,0.0,-367.95,https://mttmarket.com/packets/item/55fd4da861ccb61422de8695,,424.7,56.75
15,238,https://mttmarket.com/users/533436bd52000058c1a9c6b7,arecibo_eye,20.09.2015,482.2,35,1.18,,55.0,0.0,-251.0,https://mttmarket.com/packets/item/55fdb3c861ccb615f077a805,,330.9,79.9
16,239,https://mttmarket.com/users/55360d190cf26d1eaea49faf,Sytnik,20.09.2015,195.5,14,1.16,,50.0,0.0,-98.6,https://mttmarket.com/packets/item/55fe993461ccb618d28ecf64,,192.5,93.9
17,420,https://mttmarket.com/users/54eb6a500cf22b7780462624,managa,20.09.2015,823.35,26,1.16,,30.0,0.0,-143.14,https://mttmarket.com/packets/item/55fec00461ccb619954b5204,,202.55,59.41
18,421,https://mttmarket.com/users/55bbf12e61ccb60059523268,master.zuev,20.09.2015,346.1,36,1.17,,45.0,0.0,355.75,https://mttmarket.com/packets/item/55fbea9061ccb60fb584d3cb,,316.1,671.85
19,422,https://mttmarket.com/users/53bfc9550cf2e09139ecace7,jenia007,20.09.2015,464.7,29,1.17,,50.0,0.0,-128.22,https://mttmarket.com/packets/item/55fc51b161ccb611835291c8,,334.84,206.62
20,423,https://mttmarket.com/users/55b944e061ccb6012efae3b1,vladdnepr,20.09.2015,156.2,28,1.16,,30.0,0.0,-55.99,https://mttmarket.com/packets/item/55fca66c61ccb6128b18859d,,131.1,75.11
21,424,https://mttmarket.com/users/5411600c0cf2295303680d0f,F14,20.09.2015,1278.1,41,1.16,,50.0,0.0,-439.3,https://mttmarket.com/packets/item/55faf04b61ccb60c0af90e92,,1013.4,574.1
22,426,https://mttmarket.com/users/53abd5490cf2c8120d44fbfe,itsNotFun,20.09.2015,391.9,24,1.16,,50.0,0.0,213.67,https://mttmarket.com/packets/item/55f9d7a261ccb60848044c7b,,275.9,489.57
23,427,https://mttmarket.com/users/55953fb60cf2d95aabaf3531,be_successful,20.09.2015,290.65,46,1.16,,20.0,0.0,19.43,https://mttmarket.com/packets/item/55fab09f61ccb60acc501931,,243.9,263.33
24,428,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,20.09.2015,457.45,23,1.15,,50.0,0.0,-309.47,https://mttmarket.com/packets/item/55fc728361ccb611fb1641fc,,389.38,79.91
25,429,https://mttmarket.com/users/555c4f7a0cf2820a8e3cd56d,bleenk,20.09.2015,902.92,38,1.17,,50.0,0.0,-294.53,https://mttmarket.com/packets/item/55fd395761ccb613c5df667e,,450.27,155.74
26,430,https://mttmarket.com/users/545a67f70cf24a5c0d85e61f,Vzyatkov073,20.09.2015,49.97,15,1.17,,50.0,0.0,251.37,https://mttmarket.com/packets/item/55fd900e61ccb61587dfc412,,31.97,283.34
27,431,https://mttmarket.com/users/5386467f0cf2c8120d3fcdf1,check90,20.09.2015,1050.0,34,1.16,,50.0,0.0,-770.7,https://mttmarket.com/packets/item/55fe91cb61ccb618af2a1927,,828.6,57.9
28,432,https://mttmarket.com/users/52b32f4b5a00006002eb24df,NikAs,20.09.2015,1672.38,28,1.19,,50.0,0.0,2788.26,https://mttmarket.com/packets/item/55fe9c1e61ccb618eea89316,,1573.38,4361.64
29,433,https://mttmarket.com/users/5527c9b60cf28d50eba1fcc4,Bigluckpls,20.09.2015,791.55,27,1.16,,83.0,0.0,-163.23,https://mttmarket.com/packets/item/55f98c0361ccb607013a3e84,,440.21,276.98
30,434,https://mttmarket.com/users/556eb6c90cf2a06f774a60ee,marat2302,20.09.2015,204.0,24,1.15,,40.0,0.0,142.46,https://mttmarket.com/packets/item/55f73d3461ccb67d4bfa92b8,,186.0,328.46
31,435,https://mttmarket.com/users/54eee3a90cf22b7780472da2,AHTOCb,20.09.2015,1445.76,66,1.17,,50.0,0.0,-538.69,https://mttmarket.com/packets/item/55faffc461ccb60c3d44f5cb,,1330.02,791.33
32,436,https://mttmarket.com/users/559bf11d0cf2d95aabb1f1f7,KASMETKO,20.09.2015,865.0,62,1.15,,25.0,0.0,-298.84,https://mttmarket.com/packets/item/55fb18d761ccb60c94447881,,550.6,251.76
33,437,https://mttmarket.com/users/54a2b47a0cf23c2fa9bd696d,kyzyldurrr,20.09.2015,512.3,30,1.16,,20.0,0.0,-429.76,https://mttmarket.com/packets/item/55fc56e361ccb61195458a1c,,493.86,64.1
34,438,https://mttmarket.com/users/532ca3935200008d4da9c533,OtDushi,20.09.2015,1249.61,21,1.19,,62.0,0.0,-833.74,https://mttmarket.com/packets/item/55fd5e1a61ccb6147c5a974e,,1135.61,301.87
35,439,https://mttmarket.com/users/549bdc8e0cf23c3abe0c1f03,bblk,20.09.2015,537.4,53,1.15,,30.0,0.0,-53.53,https://mttmarket.com/packets/item/55fe53b161ccb6177d641d57,,80.78,27.25
36,460,https://mttmarket.com/users/54a1bc060cf23c2fa9bcedf8,pian76,17.09.2015,27.7,5,1.16,,40.0,0.0,28.52,https://mttmarket.com/packets/item/55faf3b961ccb60c1b014161,,21.7,50.22
37,461,https://mttmarket.com/users/55ad35e861ccb6000f5e58de,bruini,17.09.2015,256.15,36,1.16,,50.0,0.0,53.61,https://mttmarket.com/packets/item/55faef6561ccb60bfb826bed,,140.08,193.69
