Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm
0,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,Shpocker,694.94,4029.1,4724.04,17.25,20.76,715,5.64,23.36
1,https://mttmarket.com/users/559d77630cf2d95aabb270cd,Bioinformix,-3313.16,15825.2,12512.04,-20.94,-0.01,786,20.13,21.88
2,https://mttmarket.com/users/55ae596c61ccb6000e13603e,maximusaces2,-1231.68,4414.04,3182.36,-27.9,-25.86,643,6.86,17.42
3,https://mttmarket.com/users/55a66e790cf2c4481c7c5cc1,zum-zum077,-3166.26,5752.1,2585.84,-55.05,-55.14,577,9.97,19.76
4,https://mttmarket.com/users/55b774d761ccb60012f31507,angerr,15009.1,8460.23,23469.33,177.41,97.5,725,11.67,23.17
5,https://mttmarket.com/users/55aff4fa61ccb60011d702f8,dmitry83,9029.91,8094.41,17124.32,111.56,106.89,950,8.52,17.47
6,https://mttmarket.com/users/53a040220cf2c8120d43379c,xquizzza,2318.37,4674.96,6993.33,49.59,39.27,397,11.78,22.67
7,https://mttmarket.com/users/55eebec761ccb65540d2383a,nur1ck,-324.0,324.0,0.0,0.0,-100.0,2,162.0,0.0
8,https://mttmarket.com/users/5457ce390cf24a5c0d8533a3,matters71,21057.42,31599.29,52656.71,66.64,55.57,2010,15.72,22.74
9,https://mttmarket.com/users/542d594c0cf2c31f2c266ac9,papa_af_true,4662.88,20615.88,25278.76,22.62,29.23,2866,7.19,17.76
10,https://mttmarket.com/users/555ef8880cf2820a8e3d8b32,Luckybet101,1909.08,7545.06,9454.14,25.3,35.73,1214,6.22,18.53
12,https://mttmarket.com/users/55cfcc9061ccb6133155fcad,mnevezet2015,-1609.82,4599.74,2989.92,-35.0,-6.74,369,12.47,17.62
13,https://mttmarket.com/users/54a29d6b0cf23c2fa9bd5ce6,regisser,937.9,15279.06,16216.96,6.14,7.41,1667,9.17,18.9
14,https://mttmarket.com/users/537d2c0b0cf2c8120d3e6047,AwadeuS,1734.63,11679.27,13413.9,14.85,45.72,1259,9.28,20.89
15,https://mttmarket.com/users/533436bd52000058c1a9c6b7,arecibo_eye,5651.52,12567.61,18219.13,44.97,72.18,859,14.63,23.4
16,https://mttmarket.com/users/55360d190cf26d1eaea49faf,Sytnik,1866.39,6172.87,8039.26,30.24,35.41,818,7.55,25.18
17,https://mttmarket.com/users/54eb6a500cf22b7780462624,managa,3627.2,20171.9,23799.1,17.98,15.84,967,20.86,18.1
18,https://mttmarket.com/users/55bbf12e61ccb60059523268,master.zuev,1195.85,3907.6,5103.45,30.6,40.5,444,8.8,25.45
19,https://mttmarket.com/users/53bfc9550cf2e09139ecace7,jenia007,99.6,3288.75,3388.35,3.03,6.67,248,13.26,20.56
20,https://mttmarket.com/users/55b944e061ccb6012efae3b1,vladdnepr,-654.29,1256.6,602.31,-52.07,-50.89,246,5.11,17.07
21,https://mttmarket.com/users/5411600c0cf2295303680d0f,F14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
22,https://mttmarket.com/users/53abd5490cf2c8120d44fbfe,itsNotFun,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
23,https://mttmarket.com/users/55953fb60cf2d95aabaf3531,be_successful,-84.25,4462.75,4378.5,-1.89,-2.68,613,7.28,22.84
24,https://mttmarket.com/users/543d59990cf24a5c0d7c7ec5,OMG!agro,11721.3,39804.52,51525.82,29.45,44.54,2707,14.7,18.4
25,https://mttmarket.com/users/555c4f7a0cf2820a8e3cd56d,bleenk,-1578.86,5424.29,3845.43,-29.11,-26.81,252,21.52,19.84
26,https://mttmarket.com/users/545a67f70cf24a5c0d85e61f,Vzyatkov073,-349.63,3822.28,3472.65,-9.15,27.4,781,4.89,22.79
27,https://mttmarket.com/users/5386467f0cf2c8120d3fcdf1,check90,14788.65,60624.04,75412.69,24.39,24.21,1728,35.08,20.54
28,https://mttmarket.com/users/52b32f4b5a00006002eb24df,NikAs,44494.65,365912.13,410406.78,12.16,22.32,6962,52.56,19.66
29,https://mttmarket.com/users/5527c9b60cf28d50eba1fcc4,Bigluckpls,-1072.84,8553.51,7480.67,-12.54,-6.13,404,21.17,14.36
